,Unnamed: 0,Joke,category,Rating
204,6846.0,Confucius say... ~He who value skin does not wash cat,Animal,0.835
85,9495.0,What do elephants have that nothing else has? Baby elephants!,Animal,0.6708362607285381
129,3143.0,Q: Why are frogs so happy? A: They eat whatever bugs them!,Animal,0.9303250000000001
192,5741.0,Why was the baby ant afraid of his uncles? Because his uncles were all ants!,Animal,0.6502644518535817
66,6399.0,Why did the squirrel sleep on his stomach? To keep his nuts warm!,Animal,0.706025
50,4664.0,Q: Did you hear the story about the peacock? A: It's a beautiful tail.,Animal,0.89985
145,5421.0,Not Funny,Animal,0.6647000000000001
203,5582.0,"A mother was reading a book about animals to her 3 year old daughter. Mother: ""What does the cow say?"" Child: ""Moo!"" Mother: ""Great! What does the cat say?"" Child: ""Meow."" Mother: ""Oh, you're so smart! What does the frog say?"" And this wide-eyed little 3 year-old looked up at her mother and in her deepest voice replied, ""Bud.""",Animal,0.92755
6,8797.0,A dog goes up to a man with a pizza and starts whining for some. Man to Owner: Can I throw him a bit? Owner smiles proudly: Yes. The man picks up the dog and throws him on the ground.,Animal,0.9544
115,3992.0,What did the male rabbit buy the female rabbit for her birthday? 14 carrot gold!,Animal,0.75
12,8065.0,Q: What is the difference between a dog and a fox? A: About five drinks.,Animal,0.7092726116534323
84,6831.0,Where do you find a dog with no legs? Where you left him!,Animal,0.5611529459995217
24,9835.0,What s green and hangs from a tree??? Giraffe Boogers,Animal,0.6759411490522325
205,9488.0,"Q: How do you shoot a purple elephant? A: Paint him red, hold his trunk shut until he turns blue, and then shoot him with the blue elephant gun.",Animal,0.4790463749616407
117,9954.0,Why did the chicken cross the road? To get away from the butcher,Animal,0.6505883004836506
112,9033.0,Can you decipher this phrase? EHCA Backache!,Animal,0.6930503684096039
195,5557.0,Why do pigs STINK? Because they have four armpits..,Animal,0.5188681750824675
223,4027.0,What is a cat's favorite part of the computer? The mouse!,Animal,0.877325
202,2942.0,Q. Have you heard of the dyslexic cow who attained enlightenment? A. It kept on repeating OOOOMMM!,Animal,0.75
97,3186.0,What do you call a horny fish? A blowfish,Animal,0.75
156,4465.0,"Q: Why do people have small dogs? A: So they can carry them in their bags, and when the person farts, they can blame it on the dog.",Animal,0.5653045886027394
71,4271.0,"""Do you know that your dog bit my mother-in-law yesterday?"" ""Is that so? Well, I suppose you'll sue me for damages?"" ""Not at all. What'll you take for the dog?""",Animal,0.7936245568455547
225,8850.0,What is represented by this? WOWOLFOL Wolf in sheep's clothing (wool)!,Animal,0.7110868830233812
209,6758.0,"Outside of a dog, a book is probably man's best friend. Inside of a dog, it's too dark to read.",Animal,0.8550412475672551
42,8074.0,Q: Why did the chicken cross the road? A: SSCCRRRRRRREEEEEEEEEEEEEEEECCCCCCCCCCCHHHHHHHHHH...thump. We shall never know...,Animal,0.7018630145117641
188,5927.0,What do you call a lonely fisherman? A Master-Baiter,Animal,0.5614638662073295
180,1470.0,Where does Superman's goldfish live ? In the superbowl....,Animal,0.75
160,5035.0,"A class is on a field trip to the zoo. They are in the farm animal's section, and all of the sudden the entire class looks to their right and see 2 pigs going at it like it was the last day on Earth. Boy: o.o umm... teacher, what are those pigs doing? Teacher: O.O I don't think those are pigs...",Animal,0.6147393443884328
27,379.0,"Just before Thanksgiving, the holding pen was abuzz as Mother Turkey scolded the younger birds. ""You turkeys are always into mischief,"" she gobbled. ""If your grandfather could see the things you do, he'd turn over in his gravy.""",Animal,0.6506891717086547
99,3743.0,Q: Why did the ant fall off the toilet bowl? A: He got pissed off.,Animal,0.49098725830132606
190,9252.0,"In the morning elephants put springs on their feet and jump around the jungle. Now the most fearsome sound to a monkey is ""Boing Boing""",Animal,0.5361781412939541
143,8893.0,Can you decipher this phrase? ED CROWD Over crowded: [CROWD over ED].,Animal,0.661559111927636
