,Joke,Rating,category,Mood
0,Confucius say... ~He who value skin does not wash cat,0.835,Animal,hate
1,What do elephants have that nothing else has? Baby elephants!,0.6708362607285381,Animal,surprise
2,Q: Why are frogs so happy? A: They eat whatever bugs them!,0.930325,Animal,surprise
3,Why was the baby ant afraid of his uncles? Because his uncles were all ants!,0.6502644518535817,Animal,hate
4,Why did the squirrel sleep on his stomach? To keep his nuts warm!,0.706025,Animal,surprise
5,Q: Did you hear the story about the peacock? A: It's a beautiful tail.,0.89985,Animal,fun
6,Not Funny,0.6647000000000001,Animal,sadness
7,"A mother was reading a book about animals to her 3 year old daughter. Mother: ""What does the cow say?"" Child: ""Moo!"" Mother: ""Great! What does the cat say?"" Child: ""Meow."" Mother: ""Oh, you're so smart! What does the frog say?"" And this wide-eyed little 3 year-old looked up at her mother and in her deepest voice replied, ""Bud.""",0.92755,Animal,fun
8,A dog goes up to a man with a pizza and starts whining for some. Man to Owner: Can I throw him a bit? Owner smiles proudly: Yes. The man picks up the dog and throws him on the ground.,0.9544,Animal,happiness
9,What did the male rabbit buy the female rabbit for her birthday? 14 carrot gold!,0.75,Animal,fun
10,Q: What is the difference between a dog and a fox? A: About five drinks.,0.7092726116534323,Animal,relief
11,Where do you find a dog with no legs? Where you left him!,0.5611529459995217,Animal,surprise
12,What s green and hangs from a tree??? Giraffe Boogers,0.6759411490522325,Animal,surprise
13,"Q: How do you shoot a purple elephant? A: Paint him red, hold his trunk shut until he turns blue, and then shoot him with the blue elephant gun.",0.4790463749616407,Animal,fun
14,Why did the chicken cross the road? To get away from the butcher,0.6505883004836506,Animal,hate
15,Can you decipher this phrase? EHCA Backache!,0.6930503684096039,Animal,surprise
16,Why do pigs STINK? Because they have four armpits..,0.5188681750824675,Animal,hate
17,What is a cat's favorite part of the computer? The mouse!,0.877325,Animal,fun
18,Q. Have you heard of the dyslexic cow who attained enlightenment? A. It kept on repeating OOOOMMM!,0.75,Animal,surprise
19,What do you call a horny fish? A blowfish,0.75,Animal,surprise
20,"Q: Why do people have small dogs? A: So they can carry them in their bags, and when the person farts, they can blame it on the dog.",0.5653045886027394,Animal,worry
21,"""Do you know that your dog bit my mother-in-law yesterday?"" ""Is that so? Well, I suppose you'll sue me for damages?"" ""Not at all. What'll you take for the dog?""",0.7936245568455547,Animal,happiness
22,What is represented by this? WOWOLFOL Wolf in sheep's clothing (wool)!,0.7110868830233812,Animal,surprise
23,"Outside of a dog, a book is probably man's best friend. Inside of a dog, it's too dark to read.",0.8550412475672551,Animal,neutral
24,Q: Why did the chicken cross the road? A: SSCCRRRRRRREEEEEEEEEEEEEEEECCCCCCCCCCCHHHHHHHHHH...thump. We shall never know...,0.7018630145117641,Animal,worry
25,What do you call a lonely fisherman? A Master-Baiter,0.5614638662073295,Animal,worry
26,Where does Superman's goldfish live ? In the superbowl....,0.75,Animal,surprise
27,"A class is on a field trip to the zoo. They are in the farm animal's section, and all of the sudden the entire class looks to their right and see 2 pigs going at it like it was the last day on Earth. Boy: o.o umm... teacher, what are those pigs doing? Teacher: O.O I don't think those are pigs...",0.6147393443884328,Animal,surprise
