,Joke,category,Rating
696,"A pair of birds were sitting on a branch of a tree when they see a turtle run past them, jump off the branch and flap his arms as hard as he can. He falls to the ground. The poor turtle repeats this process numerous times, and then one bird says to the other ""dear, do you think we should tell him he's adopted?""",Animals,0.8
2182,Q: Where can you find a dog with no legs?A:Right where you left it.,Animals,0.4
2409,"A man dropped by his friend's house to pay him a visit and was amazed to see him playing a game of chess with his dog. After a few minutes he burst out with, ""That's the most incredible dog I've ever seen!""""Oh he isn't so smart,"" was the answer. ""I've beaten him three games out of four.",Animals,0.6000000000000001
2887,Q. What do cows do for fun? A. They go to MOO-vies!,Animals,0.0
2964,"Is your devotion to your cat and ""cat things"" in the training stage, at a moderate level, or extreme? Or are you an all out shameless ""cat-a-holic?"" Let's just see how you rate as a ""cat person,"" shall we? See how many of these can you give an HONEST ""yes"" answer to:",Animals,0.5
2897,Q. What do you get when you cross a centipede with a turkey? A. Drumsticks for everybody!,Animals,0.8
3010,"To tell the weather, go to your back door and look for the dog. The CAT",Animals,0.4
2893,Q. What did the father buffalo say to the son buffalo when he left for school? A. Bison!,Animals,0.0
1842,"Q: What do you call a cat with a machine gun?A: Sir.Q: What does a snail do on a tortoise's back?A: ""Vrooom... vrooom... vrooooooom...""Q: How do you know if there is an elephant under the bed?A: Your nose is touching the ceiling.",Animals,0.6000000000000001
2969,How to tell if your cat has a problem by asking yourself the following questions:,Animals,0.8
2890,Q. What do you call a chicken that crosses the road rolls in dirt and comes back? A. dirty double crosser,Animals,0.0
2886,What did the horse say when he fell? I've fallen and I can't giddy up!,Animals,0.0
2888,Q. What are the two main political parties in Canada? A. Moose and Squirrel,Animals,0.0
2889,Q. What do you call a cow murder mystery? A. moo-done-it.,Animals,0.0
2294,"A dog walks into an employment agency and says ""I'd like to get a job please."". The guy at the employment agency says ""Wow, you could easily get a job at the circus with your talents."" The dog replys ""What would the circus want with a plumber?""",Animals,0.6000000000000001
1132,"A three legged dog is walking down the middle of the road with a shotgun in his hand. When he was asked why he had a shotgun he said ""I'm looking for the man who shot my pa"".",Animals,0.2
853,"A red-faced judge convened court after a long lunch. The first case involved a man charged with drunk driving who claimed it simply wasn't true. ""I'm as sober as you are, your honor,"" the man claimed. The judge replied, ""Clerk, please enter a guilty plea. The defendant is sentenced to 30 days.""",Bar Jokes,0.8
211,"""Get this."" said the English bloke to his mates, ""Last night while I was down the pub with you guys, a burglar broke into my house.""Did he get anything?"" his mates asked.""yeah, a broken jaw, six teeth knocked out, and a pair of broken nuts. The wife thought it was me coming home drunk.""",Bar Jokes,0.776
2101,"A blind man and his dog go into the supermarket and then the blind man takes his dog by the collar and starts to swing him around over his head, knocking things off the shelves. The manager comes up to the blind man and asks ""excuse me sir, can I help you?"" the blind man answers ""no thanks, I'm just looking around"".",Blind Jokes,0.7000000000000001
76,"she was so blonde she told me to meet her at the corner of ""WALK"" and ""DON'T WALK.""",Blonde Jokes,0.2
42,"A man walks in to an auto store and askes the blonde cashier where the turtle wax is. the blonde says,""i'm sorry sir, but we don't sell pet supplies.""",Blonde Jokes,0.45
102,Two blondes walk in to a building.You'd think one of them would have seen the building.,Blonde Jokes,0.9199999999999999
93,What do you call a blonde with two brain cells?Gifted,Blonde Jokes,0.734
106,"A blonde and a brunette jumped off a bridge, who hit the ground first?The brunette, cos the blonde stopped to asked for directions!!!",Blonde Jokes,0.65
2,One day this cop pulls over a blonde for speeding. The cop gets out of his car and asks the blonde for her license.''You cops should get it together. One day you take away my license and the next day you ask me to show it.'',Blonde Jokes,0.618
100,"Q: How do you get the blonde to turn on the light after sex?A: tell her to open the car doorQ:what did the blondes' left leg say to the right leg?A: Nobody knows, they've never met",Blonde Jokes,0.666
50,"A policeman pulled a blonde over after she'd been driving the wrong way on a one-way street. Cop: ""Do you know where you were going?"" Blonde: ""No, but wherever it is, it must be bad 'cause all the people were leaving.""",Blonde Jokes,0.526
67,"I know a blond so stupid I asked her to take me to the airport she looked up at the billboard it said ""Airport Left"" she turned around and went home",Blonde Jokes,0.5140000000000001
95,One day two blondes decided to take a trip to Disney Land. They were riding down the road and all of a sudden they came to a fork in the road and a sign said disneyland left. So they looked at eachother and said dangget and went back home.,Blonde Jokes,0.334
78,1. The water proof towel2. Solar powered flash light3. Sumberrine screen door4. A book on how to read5. Inflatable dart board6. A dictionary index7. Ejector seat in a helicopter8. Powdered water9. Pedel powered wheel chair10. Water proof tea bags,Blonde Jokes,1.0
85,"A blonde walking by the river came across another blonde directly across from her. The first blonde waved to the other and said ""hey, how do i get to the other side""? The other blonde answered ""You're already on the other side"".",Blonde Jokes,0.6000000000000001
103,Whats a blondes favorite nursury rhyme?humpme dumpme,Blonde Jokes,0.7200000000000001
116,"I knew a blond so stupid that when she read the ""concentrat"" on the orange juice container, she did.",Blonde Jokes,0.8
59,Q:What is a blondes idea of safe sex??A:Lock the car doors,Blonde Jokes,0.526
61,"Once, a blonde decided to ride a horse. She was riding quite pleasantly on a trail in a field until the horse speeded up. He was going faster and faster, and soon she felt herself slipping. Her head was just about to hit the ground... Then the Wal Mart manager ran to turn off the horsey ride.",Blonde Jokes,0.658
41,"Three blondes walk into a forest and soon find a pair of tracks.The first blonde says: ""I think they're deer tracks.""The second blonde says: ""No, I think they're bear tracks.""The third blonde says: ""You're both wrong! They're bird tracks!""Then they get hit by a train.",Blonde Jokes,0.6120000000000001
68,Q:how can you tell if a blonde is having a bad day? A:her tampon is on her ear and she cant find her pen!,Blonde Jokes,0.48
56,"Santa Vlause, the Tooth Fairy, the Easter Bunny, a smart blonde and a dumb blonde were all walking down the street when they all spotted a 100$ dollar bill. Who do you think got it? No one because the first four dont exist and the dumb blonde thought it was a gum wrapper.",Blonde Jokes,0.622
