,Joke,category
5791,"Once, my parents were driving, and they wanted a cup of tea, so they drove to a cafe. When they ordered, a horse walked in and sat at the table across from them. The horse then ordered a cup of coffe. My parents thought it was a bit strange, so they asked the waitress if this was normal, and the waitress said, ""No, he usually orders lemonade.""",Animal
9059,"Which word is the odd one out: football polo badminton baseball golf tennis cricket billiards rugby Badminton. This is the only sport which does not use a ball, it uses a shuttlecock.",Animal
9604,Why did the chewing gum cross the road? Because it was stuck to the chicken's feet.,Animal
6831,Where do you find a dog with no legs? Where you left him!,Animal
8070,Is the reason they make oriental flavored noodles for Americans to get back at them for eating our dogs?,Animal
8639,Can you decipher this phrase? DOG THE The underdog!,Animal
9957,Why didn't Megan Fox run from the man-eating lion? Because she was a woman. *Told to me by a 7-year-old*,Animal
6744,Q: What does a 1000 pound bird say?? A: SQUAWK!!!,Animal
684,Q: Where do cows go on Saturday nights? A: To the moovies,Animal
6250,"The other day, I saw my friend with a big puffy red nose. I asked her what happened and she said, ""I stopped to smell a brose,"" then I said, ""wait, there's no b in rose!"" She said, ""Well, there was in that one!!",Animal
8843,"Please answer yes or no to this question. Is your answer ""no""? Hint: This is under trick, remember. Answer: Yes or no.",Animal
3912,aaaaa,Animal
9599,"Why did the chicken cross the road halfway? To ""lay it on the line"".",Animal
1603,What do you call a pig who knows karate? A Pork-Chop!,Animal
9495,What do elephants have that nothing else has? Baby elephants!,Animal
9502,Q: What did Tarzan say to Jane when he saw the elephants coming? A: Here come the elephants.,Animal
5931,What do you call an elephant chasing a cat? Depends on what his name is.....,Animal
2942,Q. Have you heard of the dyslexic cow who attained enlightenment? A. It kept on repeating OOOOMMM!,Animal
9946,"Breaking News! Daisy the Dalmation is entering the presidential election along with Mitt Romney and Barack Obama.Right now we are going to hear her campaign speech. "" Voting for your next president will be very difficult to chose so let me make it easier. You can vote for the white guy or the black guy. You vote for me you get both.!""",Animal
1350,Q: What do you get when you cross a kangaroo and a sheep? A: A sweater with pockets,Animal
7276,"You mom's soooo stupid, she thought fruit punch was a gay boxer!",Animal
9593,You have a million cows. Most of them are illegals.,Animal
9492,Q: How do you know there are two elephants in your refrigerator? A: You can hear giggling when the light goes out.,Animal
3042,What do you call a horse that escaped from jail? A Zebra.,Animal
4790,What is black & white an red all over? A penguin holding its breath!,Animal
2483,What is black and white and red all over? An embarrassed zebra,Animal
9500,Q: What's the difference between an elephant and a plum? A: Their color.,Animal
3027,How do turtles talk to each other? Shellphones!,Animal
3201,"Earth Worm: Oh, I wish that darn evil Mister Barney hadn't chopped my brother into two sections! Other Earth Worm: Why? Earth Worm: Because, now I have two half brothers!",Animal
9595,Why should not a chicken cross the road? It would be a fowl proceeding.,Animal
4465,"Q: Why do people have small dogs? A: So they can carry them in their bags, and when the person farts, they can blame it on the dog.",Animal
6399,Why did the squirrel sleep on his stomach? To keep his nuts warm!,Animal
3012,Why don't crabs share? Because there shelfish!,Animal
9938,Joe:Why did the cow cross the road? Bob:The chicken quit. Joe:why did the chicken quit? Bob: He wanted a job that would give him more buck-buck-bucks. Joe: Hey! Why is why is that duck crossing the road? Bob: I don't know. Maybe the cow qu- Hey! Why am I talking to you? I don't even know you! Joe: Why don't you kno- Bob: Shut up!,Animal
9179,Why do you go to a black person's yard sale? To get your stuff back!,Animal
4394,Q: What's the worst time to be a rat or a mouse? A: When it's raining cats and dogs!,Animal
8897,What is a chicken's favorite type of joke? The human who crossed the road!!!,Animal
4031,How do spell mousetrap with only three letters? C-A-T,Animal
573,"Duck #1: Quack Duck #2: Quack Duck #3: Quack Quack Duck #1 takes out a gun and shoots Duck #3. Duck #2: ""Why did you shoot him?"" Duck #1: ""He knew too much.""",Animal
9272,"This guy at work argued with everybody that his pink oxford shirt was actually ""salmon."" Finally, human resources brought in a grizzly bear to settle the dispute.",Animal
3743,Q: Why did the ant fall off the toilet bowl? A: He got pissed off.,Animal
8889,Can you decipher this phrase? W O R K SEESAWS Overseas work!,Animal
9482,Q: Why do elephants paint their toes yellow? A: So they can hide upside down in the custard.,Animal
5263,Q: What's a Polar Bear's favorite cereal? A: Ice Krispies,Animal
8529,Person A: Why did the chicken cross the road? Person B: Is this a trick question?,Animal
3908,A man and his love had a terrible spat: She scratched his face and he knocked her flat; She spat at him and he threw her around; She jumped from behind and he fell to the ground. How sad to see such trouble as that... Between a man and his household cat!,Animal
3044,What do you get when you cross a fish and a grizzly? A Bearacuda.,Animal
3028,How do you get a mouse to smile? Say Cheese!,Animal
6088,"Last time my friend went to the zoo, he got in trouble for feeding the monkeys... ...to the lions.",Animal
8338,What do you get when you cross a rooster and an owl? A cock that stays up all night!,Animal
8894,Can You Decipher This Phrase? E E Y E E D D Cross eyed!,Animal
5325,"Once i bought a squirrel and I named it Melinda, and then I gave it food and then it died! Now I have a box named Joice Ann and I gave it some water and it fell down and then it died!",Animal
8570,What part of music is the part you'd better not try to sing? Refrain!,Animal
7717,"Two jackrabbits are running from a pack of coyotes they manage to hide under a cactus. One says to the other: ""Should we run for it, or wait till we outnumber 'em?""",Animal
5833,Q: When is a black dog not a black dog? A: When its a grey hound.,Animal
8895,1 C A and 4 H A in a M M 1 carbon atom and 4 hydrogen atoms in a methane molecule!,Animal
9137,"Mr. Lwin was staring at the cage in the zoo, watching the great cat pace back and forth. ""I wonder what the tiger would say if it could talk,"" he said to the zookeeper. The zookeeper replied, ""It would probably say, 'Hey dummy, I'm a cheetah!""",Animal
4889,Want to know a dirty joke? A white horse falls into a mud puddle. Wanna know a clean joke? The horse takes a shower.,Animal
40,Did you hear the one about the Polish wolf? He chewed off three legs and was still caught in the trap.,Animal
5829,Where do fish keep their money? In a riverbank!,Animal
9596,Why does a duck cross the street? Because it was the chicken's and turkey's day off.,Animal
1735,"Guy1: Thats a bunch of cows. Farmer: No, a herd. Guy1: Of course I've heard of cows. Farmer:.No, I mean the cow herd Guy1: I have no secrets from cows",Animal
5020,What was the elephant doing on the highway? About 5 mph,Animal
6758,"Outside of a dog, a book is probably man's best friend. Inside of a dog, it's too dark to read.",Animal
9498,"Q: Why is an elephant big, grey and wrinkly? A: Because if it was small, white and hard it would be an aspirin.",Animal
2837,Three ants went to the beach to swim. Two jumped directly in the water. The other went back home and after an hour returned. Why? She forgot her swimming suit!!,Animal
2178,"Teacher: ""Why does an elephant have a trunk?"" Student: ""Because it doesn't have a glove compartment!""",Animal
4396,Did you know... in Louisiana it is illegal to tie an alligator to a fire hydrant and leave it unattended? Really! It's true!,Animal
5723,Why did the piece of gum cross the road? Because it was stuck to the chicken's foot!,Animal
8454,Why did the chicken cross the road? Because Kentucky Fried was on the side he was leaving from.,Animal
9489,"Q: How many elephants will fit into a Mini? A: Four: Two in the front, two in the back.",Animal
8957,Can You Decipher This Phrase? DEINPTH VESTINIGATION In depth investigation!,Animal
8589,"If people evolved from apes, why are there still apes?",Animal
8269,"An elephant is talking to a hippopotamus, and the elephant says, ""You know, there's nothing worse than a cold in the nose."" The hippo says, ""Oh yeah? Did you never have chapped lips?""",Animal
63,"Two cows were standing next to each other in a field. Daisy says to Dolly, ""I was artificially inseminated this morning."" ""I don't believe you,"" said Dolly. ""It's true, straight up, no bull!""",Animal
7852,Which animal has no teeth? A gummy bear!,Animal
3289,"What goes 99-clump, 99-clump, 99-clump? A centipede with a wooden leg.",Animal
8496,"My friend Doug pointed up at a bird circling overhead and said, ""Look, it's an eagle!"" ""That doesn't look like an eagle,"" I said. ""Well of course not,"" he shot back amazingly quickly. ""It's travelling incognito. Haven't you ever heard that ""Eagles are Masters of De Skys?""",Animal
893,"A hunter visited another hunter and was given a tour of his home. In the den was a stuffed lion. The visiting hunter asked, ""When did you bag him?"" The host said, ""That was three years ago, when I went hunting with my wife."" ""What's he stuffed with?"" asked the visiting hunter, and the host said, ""My wife.""",Animal
9493,Q: How do you know there are three elephants in your refrigerator? A: You can't close the door.,Animal
9956,"A waiter on a ship said to a boarding lion ""sir, do you want anything of the chef's special?"" The lion said ""nah..I'll look at the passenger list,though!""",Animal
8653,wat do u call a female dog?,Animal
7892,Why was the fish expelled from school? He was caught with seaweed!,Animal
9689,"What is red, black, has ten eyes, and crawls? I do not know but it is on your head.",Animal
7307,You are a big animal that is big.,Animal
8855,What is represented by this? DO WN Broken down!,Animal
6771,Why do chicken coops have two doors? Because if it had four doors it'd be a chicken sedan.,Animal
6646,"A bear, a lion and a chicken were having a discussion as to which one of them scares humans the most. ""I only have to growl,"" said the bear, ""and people start to get a bit nervous."" The lion said, ""I just have to roar and people run away."" ""That's nothing,"" replied the chicken. ""I only have to sneeze and the whole world panics.""",Animal
8864,"What does a dog do in your backyard that you don't want to step in? Dig a hole. If you step in the hole, you might twist your ankle!",Animal
8856,What is represented by this? Way One Way!,Animal
5164,They have finally started practicing safe sex in Scotland... They now paint red X's on the sheep that kick,Animal
5212,What is a kangaroo's favorite restaurant? IHOP!,Animal
8882,Can You Decipher This Phrase? B O N E S Broken bones!,Animal
9386,"If a fly can fly, can an elephant elephant?",Animal
379,"Just before Thanksgiving, the holding pen was abuzz as Mother Turkey scolded the younger birds. ""You turkeys are always into mischief,"" she gobbled. ""If your grandfather could see the things you do, he'd turn over in his gravy.""",Animal
600,"A mother and her young son returned from the grocery store and began putting away the groceries. The boy opened the box of animal crackers and spread them all over the table. ""What are you doin?"" his mother asked; ""you can't eat them if the seal is broken."" The boy explained, ""I'm looking for the seal.""",Animal
5823,Q: What is a cat's favorite game? A: Go Fish!,Animal
7331,"Knock knock. Who's there? Cows. Cows who? No, owls hoo, cows moo.",Animal
9688,When was the price of milk the highest? When the cow jumped over the moon.,Animal
