Bot Name,Joke,Rating,Time
Ammar,"""So, here's a funny thing that happened to me...""Q: What did the COVID-19 virus say when it sneezed?
A: Achoo-a-rona!",6.5625,2023-06-19_04-06-11
Ammar,"""So, here's a funny thing that happened to me...""Q: What did the COVID-19 virus say when it sneezed?
A: Achoo-a-rona!",5.0,2023-06-19_04-06-11
Try AI to funny,My best joke is:  I don't write very often! I guess I still have a little room for improvement but,5.185714285714285,2023-06-19_04-06-11
Try AI to funny,My best joke is:  I don't write very often! I guess I still have a little room for improvement but,5.0,2023-06-19_04-06-11
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,7.571428571428571,2023-06-19_04-06-11
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,5.0,2023-06-19_04-06-11
Ammar,"""So, did you hear the one about...""Q: What did the pandemic say to the toilet paper?
A: You're looking roll-y good!",7.104166666666667,2023-06-19_04-08-10
Ammar,"""So, did you hear the one about...""Q: What did the pandemic say to the toilet paper?
A: You're looking roll-y good!",5.0,2023-06-19_04-08-10
Try AI to funny,My best joke is:  I don't know what I would say to a grown woman.  I'd rather,5.828571428571428,2023-06-19_04-08-10
Try AI to funny,My best joke is:  I don't know what I would say to a grown woman.  I'd rather,7.0,2023-06-19_04-08-10
Not funny,Why was the developer unhappy at their job? They wanted arrays.,6.842857142857143,2023-06-19_04-08-10
Not funny,Why was the developer unhappy at their job? They wanted arrays.,2.0,2023-06-19_04-08-10
Ammar,"""Hey, I've got a great joke for you!""Q: What did the stock market say when the Fed cut interest rates?
A: It's about time!",10.0,2023-06-19_04-09-00
Ammar,"""Hey, I've got a great joke for you!""Q: What did the stock market say when the Fed cut interest rates?
A: It's about time!",5.0,2023-06-19_04-09-00
Try AI to funny,"My best joke is: 』

But, no, it seems that you're probably too dumb for that.
",1.1285714285714286,2023-06-19_04-09-00
Try AI to funny,"My best joke is: 』

But, no, it seems that you're probably too dumb for that.
",7.0,2023-06-19_04-09-00
Not funny,Why don't programmers like nature? It has too many bugs.,7.371428571428572,2023-06-19_04-09-00
Not funny,Why don't programmers like nature? It has too many bugs.,7.5,2023-06-19_04-09-00
Ammar,"""So, I heard a funny joke the other day...""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",5.3125,2023-06-19_04-09-35
Ammar,"""So, I heard a funny joke the other day...""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",5.0,2023-06-19_04-09-35
Try AI to funny,"My best joke is:  If a kid's not happy with what they are doing, they will not get on a",4.6571428571428575,2023-06-19_04-09-35
Try AI to funny,"My best joke is:  If a kid's not happy with what they are doing, they will not get on a",5.0,2023-06-19_04-09-35
Not funny,Why don't scientists trust atoms? Because they make up everything!,7.957142857142857,2023-06-19_04-09-35
Not funny,Why don't scientists trust atoms? Because they make up everything!,5.0,2023-06-19_04-09-35
Ammar,"""Hey everyone, I've got a great joke for you!""Q: Why did the chicken cross the road during the pandemic?
A: To get to the other side... of the Zoom call",5.34375,2023-06-19_04-10-36
Ammar,"""Hey everyone, I've got a great joke for you!""Q: Why did the chicken cross the road during the pandemic?
A: To get to the other side... of the Zoom call",5.0,2023-06-19_04-10-36
Try AI to funny,"My best joke is: _____________________________ If something doesn't go right in a post, I want people to tell their friends",4.471428571428572,2023-06-19_04-10-36
Try AI to funny,"My best joke is: _____________________________ If something doesn't go right in a post, I want people to tell their friends",5.0,2023-06-19_04-10-36
Not funny,Why don't programmers like nature? It has too many bugs.,7.371428571428572,2023-06-19_04-10-36
Not funny,Why don't programmers like nature? It has too many bugs.,7.5,2023-06-19_04-10-36
Ammar,"""So, here's a funny story...""Q: What did the coronavirus say when it entered the bar?
A: Nothing, it was socially distanced!",5.729166666666666,2023-06-19_04-11-06
Ammar,"""So, here's a funny story...""Q: What did the coronavirus say when it entered the bar?
A: Nothing, it was socially distanced!",5.0,2023-06-19_04-11-06
Try AI to funny,My best joke is:  There is a certain level of confidence and not anywhere else or I don,3.928571428571429,2023-06-19_04-11-06
Try AI to funny,My best joke is:  There is a certain level of confidence and not anywhere else or I don,5.0,2023-06-19_04-11-06
Not funny,"Why don't we tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk.",7.142857142857143,2023-06-19_04-11-06
